Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
345,Andreas Karlsson\karlsan01,31,TBL,C,53,3,6,9,-4,12,0.3,3,0,0,1,5,1,0,25,12.0,446,8:25
346,Darius Kasparaitis\kaspada01,34,NYR,D,24,2,2,4,-1,30,1.0,2,0,0,0,2,0,0,9,22.2,357,14:52
347,Duncan Keith\keithdu01,23,CHI,D,82,2,29,31,0,76,5.6,2,0,0,0,23,4,2,122,1.6,1935,23:36
348,Matt Keith\keithma01,23,CHI,RW,2,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,0,,19,9:33
349,Chris Kelly\kellych01,26,OTT,C,82,15,23,38,28,40,3.9,12,1,2,0,19,1,3,131,11.5,1255,15:18
350,Ryan Kesler\keslery01,22,VAN,C,48,6,10,16,1,40,1.1,6,0,0,0,10,0,0,88,6.8,789,16:26
351,Phil Kessel\kesseph01,19,BOS,RW,70,11,18,29,-12,12,2.0,10,1,0,0,14,4,0,170,6.5,984,14:04
352,Chad Kilger\kilgech01,30,TOR,LW,82,14,14,28,-5,58,1.6,13,0,1,2,14,0,0,141,9.9,1189,14:30
353,D.J. King\kingdj01,22,STL,LW,27,1,1,2,-3,52,-0.1,1,0,0,0,1,0,0,12,8.3,149,5:31
354,Ken Klee\kleeke01,35,COL,D,81,3,16,19,18,68,4.8,3,0,0,0,15,0,1,90,3.3,1671,20:38
355,Kevin Klein\kleinke01,22,NSH,D,3,1,0,1,3,0,0.5,1,0,0,0,0,0,0,2,50.0,50,16:37
356,Jon Klemm\klemmjo01,37,DAL,D,38,1,2,3,0,24,1.3,1,0,0,0,2,0,0,25,4.0,496,13:03
357,Jakub Klepis\klepija01,22,WSH,C,41,3,7,10,-2,28,0.5,3,0,0,0,4,3,0,38,7.9,408,9:58
358,Rostislav Klesla\kleslro01,24,CBJ,D,75,9,13,22,-13,105,4.6,7,2,0,0,10,3,0,159,5.7,1718,22:54
359,Mike Knuble\knublmi01,34,PHI,RW,64,24,30,54,2,56,6.0,14,10,0,1,22,8,0,160,15.0,1256,19:38
360,Chuck Kobasew\kobasch01,24,TOT,RW,50,5,14,19,1,62,1.1,3,2,0,1,8,6,0,93,5.4,717,14:20
361,David Koci\kocida01,25,CHI,LW,9,0,0,0,-3,88,-0.2,0,0,0,0,0,0,0,3,0.0,43,4:44
362,Mikko Koivu\koivumi01,23,MIN,C,82,20,34,54,6,58,5.8,9,9,2,2,23,10,1,162,12.3,1433,17:29
363,Saku Koivu\koivusa01,32,MTL,C,81,22,53,75,-21,74,6.9,10,11,1,4,19,32,2,154,14.3,1467,18:07
364,Juraj Kolnik\kolniju01,26,FLA,RW,64,11,14,25,2,18,2.3,11,0,0,1,12,2,0,113,9.7,774,12:05
365,Mike Komisarek\komismi01,25,MTL,D,82,4,15,19,7,96,4.8,2,0,2,1,13,0,2,78,5.1,1580,19:16
366,Zenon Konopka\konopze01,26,CBJ,C,6,0,0,0,-2,20,-0.1,0,0,0,0,0,0,0,2,0.0,30,5:00
367,Tomas Kopecky\kopecto01,24,DET,RW,26,1,0,1,-2,22,-0.2,1,0,0,0,0,0,0,27,3.7,189,7:15
368,Anze Kopitar\kopitan01,19,LAK,C,72,20,41,61,-12,24,5.0,11,7,2,1,19,22,0,193,10.4,1479,20:32
369,Andrei Kostitsyn\kostian01,21,MTL,LW,22,1,10,11,3,6,0.9,1,0,0,0,9,1,0,38,2.6,292,13:17
370,Tom Kostopoulos\kostoto01,28,LAK,RW,76,7,15,22,-2,73,1.3,7,0,0,0,14,0,1,90,7.8,879,11:34
371,Ales Kotalik\kotalal01,28,BUF,RW,66,16,22,38,-5,46,3.1,13,3,0,4,14,8,0,162,9.9,958,14:31
372,Ilya Kovalchuk\kovalil01,23,ATL,LW,82,42,34,76,-2,66,9.0,24,18,0,7,20,14,0,336,12.5,1765,21:32
373,Alex Kovalev\kovalal01,33,MTL,RW,73,18,29,47,-19,78,3.8,10,8,0,5,14,14,1,197,9.1,1332,18:15
374,Viktor Kozlov\kozlovi01,31,NYI,C,81,25,26,51,12,28,5.6,20,5,0,4,18,7,1,165,15.2,1330,16:25
375,Vyacheslav Kozlov\kozlovy01,34,ATL,LW,81,28,52,80,9,36,8.6,20,8,0,8,21,29,2,190,14.7,1660,20:29
376,Lukas Krajicek\krajilu01,23,VAN,D,78,3,13,16,-4,64,3.9,2,1,0,2,9,4,0,105,2.9,1444,18:31
377,David Krejci\krejcda01,20,BOS,C,6,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,2,0.0,26,4:24
378,Kamil Kreps\krepska01,22,FLA,C,14,1,1,2,-1,6,0.0,1,0,0,0,1,0,0,20,5.0,157,11:13
379,Jason Krog\krogja01,31,TOT,C,23,3,3,6,5,10,0.6,3,0,0,1,3,0,0,22,13.6,285,12:24
380,Niklas Kronwall\kronwni01,26,DET,D,68,1,21,22,0,54,3.8,0,1,0,0,16,5,0,104,1.0,1404,20:39
381,Filip Kuba\kubafi01,30,TBL,D,81,15,22,37,-9,36,6.3,9,5,1,2,8,13,1,106,14.2,1637,20:12
382,Pavel Kubina\kubinpa01,29,TOR,D,61,7,14,21,7,48,4.0,3,4,0,1,10,4,0,97,7.2,1300,21:19
383,Lasse Kukkonen\kukkola01,25,TOT,D,74,5,9,14,4,38,3.7,4,1,0,2,7,1,1,54,9.3,1266,17:06
384,Chris Kunitz\kunitch01,27,ANA,LW,81,25,35,60,23,81,7.2,14,11,0,5,26,9,0,180,13.9,1381,17:03
385,Joel Kwiatkowski\kwiatjo01,29,TOT,D,42,5,5,10,-6,20,1.3,4,1,0,2,3,2,0,46,10.9,412,9:49
386,Antti Laaksonen\laaksan01,33,COL,LW,41,3,1,4,-3,16,-0.2,2,0,1,0,1,0,0,43,7.0,438,10:41
387,Dan LaCouture\lacouda01,29,NJD,LW,6,0,0,0,0,7,0.0,0,0,0,0,0,0,0,0,,30,4:57
388,Andrew Ladd\laddan01,21,CAR,LW,65,11,10,21,1,46,2.1,9,2,0,3,9,1,0,109,10.1,728,11:12
389,Brooks Laich\laichbr01,23,WSH,C,73,8,10,18,-2,29,0.7,3,2,3,0,8,1,1,119,6.7,993,13:36
390,Bryce Lampman\lampmbr01,24,NYR,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,12:08
391,Robert Lang\langro01,36,DET,C,81,19,33,52,12,66,5.4,13,6,0,4,22,11,0,166,11.4,1362,16:49
392,Jamie Langenbrunner\langeja01,31,NJD,RW,82,23,37,60,-9,64,5.9,11,12,0,7,27,10,0,243,9.5,1522,18:33
393,Josh Langfeld\langfjo01,29,DET,RW,33,0,2,2,2,12,0.0,0,0,0,0,2,0,0,37,0.0,183,5:33
394,Daymond Langkow\langkda01,30,CGY,C,81,33,44,77,23,44,9.0,22,10,1,6,25,17,2,247,13.4,1630,20:07
395,Ian Laperriere\laperia01,33,COL,RW,81,8,21,29,5,133,1.8,8,0,0,0,20,0,1,118,6.8,1121,13:51
396,Maxim Lapierre\lapiema01,21,MTL,C,46,6,6,12,-7,24,0.7,5,0,1,2,6,0,0,82,7.3,525,11:25
397,Martin Lapointe\lapoima01,33,CHI,RW,82,13,11,24,-14,98,1.3,7,5,1,2,10,1,0,102,12.7,1147,13:59
398,Georges Laraque\laraqge01,30,TOT,RW,73,5,19,24,4,70,1.9,4,1,0,0,17,2,0,44,11.4,705,9:39
399,Drew Larman\larmadr01,21,FLA,C,16,2,0,2,-3,2,0.1,2,0,0,0,0,0,0,15,13.3,118,7:23
400,Chad Larose\larosch01,24,CAR,C,80,6,12,18,-2,10,1.0,4,0,2,0,10,0,2,94,6.4,817,10:13
401,Brad Larsen\larsebr01,29,ATL,LW,72,7,6,13,-11,39,0.0,5,0,2,0,5,0,1,61,11.5,891,12:22
402,Matt Lashoff\lashoma01,20,BOS,D,12,0,2,2,-6,12,-0.1,0,0,0,0,2,0,0,8,0.0,179,14:55
403,Guillaume Latendresse\latengu01,19,MTL,RW,80,16,13,29,-20,47,2.2,11,5,0,3,8,5,0,121,13.2,1008,12:36
404,Patrick Leahy\leahypa01,27,NSH,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,6,5:46
405,Brett Lebda\lebdabr01,25,DET,D,74,5,13,18,16,61,4.8,4,1,0,2,13,0,0,107,4.7,1103,14:54
406,Vincent Lecavalier\lecavvi01,26,TBL,C,82,52,56,108,2,44,13.4,31,16,5,7,32,20,4,339,15.3,1854,22:36
407,John LeClair\leclajo01,37,PIT,LW,21,2,5,7,-2,12,0.4,1,1,0,0,5,0,0,27,7.4,249,11:51
408,David Legwand\legwada01,26,NSH,C,78,27,36,63,23,44,7.3,23,3,1,7,27,7,2,153,17.6,1432,18:22
409,Yanick Lehoux\lehouya01,24,PHX,C,7,1,2,3,-1,4,0.2,0,1,0,0,1,1,0,10,10.0,88,12:32
410,Jere Lehtinen\lehtije01,33,DAL,RW,73,26,17,43,5,16,5.3,14,11,1,5,10,7,0,194,13.4,1418,19:26
411,Mikko Lehtonen\lehtomi01,28,NSH,D,15,1,2,3,0,8,0.6,1,0,0,0,2,0,0,14,7.1,219,14:36
412,Jordan Leopold\leopojo01,26,COL,D,15,2,3,5,-4,14,0.6,0,1,1,0,3,0,0,19,10.5,297,19:47
413,Junior Lessard\lessaju01,26,DAL,RW,1,1,0,1,1,0,0.2,0,1,0,0,0,0,0,3,33.3,12,11:56
414,Kris Letang\letankr01,19,PIT,D,7,2,0,2,-3,4,0.2,0,2,0,0,0,0,0,8,25.0,81,11:33
415,Trevor Letowski\letowtr01,29,CAR,RW,61,2,6,8,-8,18,-0.3,2,0,0,0,4,1,1,69,2.9,591,9:41
416,Nicklas Lidström*\lidstni01,36,DET,D,80,13,49,62,40,46,13.1,3,10,0,1,23,23,3,224,5.8,2199,27:29
417,David Liffiton\liffida01,22,NYR,D,2,0,0,0,1,7,0.1,0,0,0,0,0,0,0,2,0.0,23,11:31
418,John-Michael Liles\lilesjo01,26,COL,D,71,14,30,44,0,24,6.8,6,8,0,3,10,20,0,128,10.9,1261,17:46
419,Andreas Lilja\liljaan01,31,DET,D,57,0,5,5,6,54,1.9,0,0,0,0,5,0,0,37,0.0,878,15:25
420,Trevor Linden\lindetr01,36,VAN,C,80,12,13,25,-6,34,2.0,7,5,0,1,11,2,0,92,13.0,987,12:20
421,Eric Lindros*\lindrer01,33,DAL,RW,49,5,21,26,-1,70,2.1,4,1,0,0,14,7,0,95,5.3,718,14:39
422,Joakim Lindstrom\lindsjo01,23,CBJ,C,9,1,0,1,-3,4,0.0,1,0,0,0,0,0,0,9,11.1,76,8:28
423,Enver Lisin\lisinen01,20,PHX,RW,17,1,1,2,-18,16,-0.9,0,1,0,0,1,0,0,35,2.9,256,15:02
424,Martin Lojek\lojekma01,21,FLA,D,3,0,1,1,2,0,0.3,0,0,0,0,1,0,0,0,,25,8:23
425,Matthew Lombardi\lombama01,24,CGY,C,81,20,26,46,10,48,4.5,11,5,4,5,17,8,1,176,11.4,1326,16:22
426,Reed Low\lowre01,30,CHI,RW,6,0,0,0,-1,31,-0.1,0,0,0,0,0,0,0,0,,21,3:33
427,Brad Lukowich\lukowbr01,30,NJD,D,75,4,8,12,1,36,4.5,3,0,1,2,7,1,0,50,8.0,1517,20:13
428,Jamie Lundmark\lundmja01,26,TOT,C,68,7,6,13,-12,56,0.0,7,0,0,0,4,2,0,81,8.6,801,11:47
429,Joel Lundqvist\lundqjo01,24,DAL,C,36,3,3,6,-5,14,0.2,3,0,0,0,3,0,0,36,8.3,408,11:20
430,Joffrey Lupul\lupuljo01,23,EDM,RW,81,16,12,28,-29,45,1.5,11,5,0,1,9,3,0,172,9.3,1263,15:36
431,Toni Lydman\lydmato01,29,BUF,D,67,2,17,19,10,55,2.8,2,0,0,1,14,2,1,44,4.5,1380,20:36
432,Clarke MacArthur\macarcl01,21,BUF,LW,19,3,4,7,4,4,0.8,3,0,0,0,4,0,0,16,18.8,169,8:54
433,Craig MacDonald\macdocr01,29,CHI,C,25,3,2,5,-2,14,0.3,2,0,1,0,2,0,0,30,10.0,280,11:12
434,Derek MacKenzie\mackede01,25,ATL,C,4,0,0,0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,20,5:00
435,Don MacLean\macledo01,30,PHX,C,9,1,1,2,-4,0,-0.1,1,0,0,0,0,1,0,12,8.3,114,12:38
436,John Madden\maddejo01,33,NJD,C,74,12,20,32,-7,14,2.2,12,0,0,1,15,3,2,153,7.8,1397,18:53
437,Adam Mair\mairad01,27,BUF,C,82,2,9,11,-1,128,-0.2,2,0,0,0,9,0,0,73,2.7,619,7:33
438,Tomi Maki\makito01,23,CGY,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,11,10:56
439,Tomas Malec\malecto01,24,OTT,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,15,14:47
440,Manny Malhotra\malhoma01,26,CBJ,C,82,9,16,25,-8,76,1.2,7,2,0,3,16,0,0,109,8.3,1214,14:48
441,Marek Malík\malikma01,31,NYR,D,69,2,19,21,32,70,6.6,2,0,0,0,16,1,2,57,3.5,1329,19:16
442,Evgeni Malkin\malkiev01,20,PIT,LW,78,33,52,85,2,80,9.4,17,16,0,6,28,24,0,242,13.6,1494,19:10
443,Ryan Malone\malonry01,27,PIT,LW,64,16,15,31,4,71,3.0,14,1,1,0,10,4,1,125,12.8,1040,16:15
444,Kirk Maltby\maltbki01,34,DET,LW,82,6,5,11,-9,50,-0.5,6,0,0,0,5,0,0,113,5.3,1081,13:11
445,Mark Mancari\mancama01,21,BUF,RW,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,1,0.0,19,6:12
446,Paul Mara\marapa01,27,TOT,D,78,5,18,23,-16,113,3.6,4,1,0,0,5,13,0,100,5.0,1726,22:08
447,Todd Marchant\marchto01,33,ANA,C,56,8,15,23,7,44,2.0,5,0,3,2,15,0,0,115,7.0,850,15:10
448,Andrei Markov\markoan01,28,MTL,D,77,6,43,49,2,56,8.1,1,5,0,2,13,27,3,128,4.7,1885,24:29
449,Danny Markov\markoda01,30,DET,D,66,4,12,16,25,59,5.3,4,0,0,0,11,0,1,66,6.1,1246,18:53
450,Patrick Marleau\marlepa01,27,SJS,C,77,32,46,78,9,33,9.4,18,14,0,9,23,23,0,180,17.8,1429,18:34
451,Paul Martin\martipa01,25,NJD,D,82,3,23,26,-9,18,6.0,2,1,0,0,18,5,0,84,3.6,2068,25:13
452,Radek Martínek\martira01,30,NYI,D,43,2,15,17,19,40,4.0,2,0,0,0,9,4,2,44,4.5,856,19:54
453,Richard Matvichuk\matviri01,33,NJD,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,13,12:45
454,Brad May\maybr01,35,TOT,LW,24,0,4,4,-1,21,-0.1,0,0,0,0,4,0,0,22,0.0,236,9:50
455,Jamal Mayers\mayerja01,32,STL,RW,80,8,14,22,-19,89,0.1,6,0,2,0,14,0,0,129,6.2,1170,14:37
456,Dean McAmmond\mcammde01,33,OTT,LW,81,14,15,29,11,28,2.9,12,0,2,1,13,1,1,86,16.3,901,11:08
457,Bryan McCabe\mccabbr01,31,TOR,D,82,15,42,57,3,115,8.6,4,11,0,1,19,23,0,207,7.2,2200,26:50
458,Steve McCarthy\mccarst01,25,ATL,D,46,4,12,16,4,24,2.9,1,3,0,0,4,8,0,51,7.8,703,15:17
459,Darren McCarty\mccarda02,34,CGY,RW,32,0,0,0,-3,58,-0.5,0,0,0,0,0,0,0,15,0.0,173,5:24
460,Alyn McCauley\mccaual01,29,LAK,C,10,1,0,1,0,2,0.0,1,0,0,0,0,0,0,4,25.0,97,9:43
461,Jay McClement\mccleja01,23,STL,C,81,8,28,36,3,55,2.5,8,0,0,0,25,1,2,104,7.7,1125,13:53
462,Cody McCormick\mccorco01,23,COL,C,6,0,1,1,1,6,0.1,0,0,0,0,1,0,0,6,0.0,40,6:44
463,Andy McDonald\mcdonan01,29,ANA,C,82,27,51,78,16,46,8.9,19,8,0,3,26,25,0,252,10.7,1442,17:35
464,Brian McGrattan\mcgrabr01,25,OTT,RW,45,0,2,2,-1,100,-0.2,0,0,0,0,2,0,0,22,0.0,174,3:51
465,Nathan McIver\mcivena01,22,VAN,D,1,0,0,0,-3,7,-0.2,0,0,0,0,0,0,0,0,,11,11:20
466,Jay McKee\mckeeja01,29,STL,D,23,0,0,0,-9,12,-0.3,0,0,0,0,0,0,0,19,0.0,465,20:14
467,Kyle McLaren\mclarky01,29,SJS,D,67,5,12,17,10,61,5.1,4,1,0,0,11,1,0,43,11.6,1435,21:25
468,Brett McLean\mcleabr01,28,COL,C,78,15,20,35,8,36,3.4,15,0,0,3,19,1,0,134,11.2,1063,13:38
469,Derek Meech\meechde01,22,DET,D,4,0,0,0,1,2,0.1,0,0,0,0,0,0,0,3,0.0,23,5:47
470,Josef Melichar\melicjo01,28,PIT,D,70,1,11,12,1,44,2.5,1,0,0,0,9,1,1,57,1.8,1317,18:49
471,Bjorn Melin\melinbj01,25,ANA,RW,3,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,1,100.0,22,7:19
472,Scott Mellanby\mellasc01,40,ATL,RW,69,12,24,36,-9,63,2.9,7,5,0,2,15,9,0,103,11.7,947,13:43
473,Eric Meloche\melocer01,30,PHI,RW,13,1,2,3,-6,4,0.0,0,1,0,0,2,0,0,12,8.3,109,8:21
474,Andrej Meszaros\meszaan01,21,OTT,D,82,7,28,35,-15,102,3.6,7,0,0,1,17,10,1,147,4.8,1778,21:41
475,Marc Methot\methoma01,21,CBJ,D,20,0,4,4,5,12,1.2,0,0,0,0,4,0,0,11,0.0,293,14:38
476,Glen Metropolit\metrogl01,32,TOT,C,77,14,19,33,9,34,3.5,9,5,0,2,16,3,0,123,11.4,931,12:05
477,Freddy Meyer\meyerfr01,26,TOT,D,60,2,6,8,-4,38,1.6,1,1,0,0,3,3,0,41,4.9,1048,17:28
478,Branislav Mezei\mezeibr01,26,FLA,D,45,0,3,3,5,55,0.8,0,0,0,0,3,0,0,24,0.0,718,15:58
479,Milan Michálek\michami01,22,SJS,RW,78,26,40,66,17,36,8.0,15,11,0,9,24,15,1,191,13.6,1307,16:46
480,Zbynek Michalek\michazb01,24,PHX,D,82,4,24,28,-20,34,3.6,1,3,0,0,11,11,2,144,2.8,1941,23:40
481,Antti Miettinen\miettan01,26,DAL,RW,74,11,14,25,-5,38,2.0,5,6,0,1,12,2,0,141,7.8,1060,14:20
482,Alexei Mikhnov\mikhnal01,24,EDM,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,6:52
483,Aaron Miller\milleaa01,35,LAK,D,82,0,8,8,-14,60,1.4,0,0,0,0,7,0,1,56,0.0,1607,19:36
484,Duncan Milroy\milrodu01,23,MTL,RW,5,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,6,0.0,65,12:56
485,Willie Mitchell\mitchwi01,29,VAN,D,62,1,10,11,1,45,3.4,1,0,0,0,9,0,1,54,1.9,1377,22:13
486,Mike Modano*\modanmi01,36,DAL,C,59,22,21,43,9,34,5.5,13,9,0,7,11,9,1,141,15.6,1086,18:24
487,Fredrik Modin\modinfr01,32,CBJ,LW,79,22,20,42,-3,50,4.0,16,6,0,4,14,6,0,220,10.0,1510,19:07
488,Jaroslav Modrý\modryja01,35,TOT,D,76,1,17,18,11,54,5.1,1,0,0,0,9,7,1,89,1.1,1434,18:52
489,Travis Moen\moentr01,24,ANA,LW,82,11,10,21,-4,101,1.0,11,0,0,0,9,0,1,124,8.9,1214,14:48
490,Tomas Mojzis\mojzito01,24,STL,D,6,1,0,1,0,0,0.3,1,0,0,0,0,0,0,7,14.3,60,10:03
491,Steve Montador\montast01,27,FLA,D,72,1,8,9,1,119,1.7,1,0,0,0,7,1,0,88,1.1,946,13:08
492,Dominic Moore\mooredo01,26,TOT,C,69,8,9,17,4,56,1.1,8,0,0,1,9,0,0,111,7.2,873,12:39
493,Brad Moran\moranbr01,27,VAN,C,3,0,1,1,0,2,0.0,0,0,0,0,0,1,0,3,0.0,38,12:38
494,Ian Moran\morania01,34,ANA,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,6,6:06
495,Ethan Moreau\moreaet01,31,EDM,LW,7,1,0,1,-4,12,-0.1,1,0,0,0,0,0,0,18,5.6,106,15:08
496,Jason Morgan\morgaja01,30,MIN,C,4,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,0,,30,7:29
497,Derek Morris\morride01,28,PHX,D,82,6,19,25,-18,115,3.4,4,2,0,1,9,10,0,129,4.7,1680,20:29
498,Brendan Morrison\morribr01,31,VAN,C,82,20,31,51,-9,60,4.6,12,6,2,3,19,12,0,139,14.4,1472,17:57
499,Shaone Morrisonn\morrish01,24,WSH,D,78,3,10,13,3,106,2.9,3,0,0,0,9,0,1,46,6.5,1634,20:57
500,Brenden Morrow\morrobr01,28,DAL,LW,40,16,15,31,-2,33,3.7,8,8,0,3,11,4,0,101,15.8,731,18:16
501,Dave Moss\mossda01,25,CGY,LW,41,10,8,18,5,12,2.2,7,3,0,1,7,1,0,70,14.3,460,11:13
502,Joe Motzko\motzkjo01,26,CBJ,RW,7,1,0,1,0,0,0.1,1,0,0,0,0,0,0,10,10.0,45,6:27
503,Mark Mowers\mowerma01,32,BOS,RW,78,5,12,17,-10,26,0.3,4,0,1,0,11,1,0,60,8.3,936,12:00
504,Bryan Muir\muirbr01,33,WSH,D,26,3,4,7,3,42,1.5,3,0,0,1,2,2,0,28,10.7,380,14:37
505,Douglas Murray\murrado01,26,SJS,D,35,0,3,3,0,31,0.9,0,0,0,0,2,1,0,18,0.0,377,10:46
506,Garth Murray\murraga01,24,MTL,LW,43,2,1,3,-10,32,-0.5,2,0,0,0,1,0,0,28,7.1,360,8:23
507,Glen Murray\murragl01,34,BOS,RW,59,28,17,45,-12,44,5.3,16,12,0,4,11,6,0,201,13.9,1106,18:45
508,Marty Murray\murrama01,31,LAK,C,19,0,2,2,-5,4,-0.3,0,0,0,0,2,0,0,4,0.0,181,9:32
509,Ladislav Nagy\nagyla01,27,TOT,LW,80,12,43,55,-5,54,4.3,8,4,0,1,23,20,0,146,8.2,1386,17:20
510,Rick Nash\nashri01,22,CBJ,LW,75,27,30,57,-8,73,6.0,17,9,1,5,15,13,2,228,11.8,1440,19:12
511,Markus Näslund\nasluma02,33,VAN,RW,82,24,36,60,3,54,6.4,15,9,0,5,17,19,0,222,10.8,1455,17:44
512,Alain Nasreddine\nasreal01,31,PIT,D,44,1,4,5,12,18,2.1,1,0,0,0,4,0,0,29,3.4,694,15:47
513,Petr Nedved\nedvepe01,35,TOT,C,40,2,10,12,-25,28,-0.5,1,1,0,0,6,4,0,39,5.1,592,14:47
514,Chris Neil\neilch01,27,OTT,RW,82,12,16,28,6,177,2.0,9,3,0,3,14,2,0,139,8.6,1076,13:08
515,Kris Newbury\newbukr01,24,TOR,C,15,2,2,4,4,26,0.5,2,0,0,0,2,0,0,30,6.7,115,7:42
516,Scott Nichol\nichosc01,32,NSH,C,59,7,6,13,7,79,0.9,5,1,1,2,5,1,0,58,12.1,740,12:32
