Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
517,Rob Niedermayer\niedero01,32,ANA,C,82,5,11,16,-8,77,-0.5,5,0,0,0,11,0,0,106,4.7,1365,16:39
518,Scott Niedermayer*\niedesc01,33,ANA,D,79,15,54,69,6,86,11.7,6,9,0,3,29,25,0,172,8.7,2173,27:31
519,Frans Nielsen\nielsfr01,22,NYI,C,15,1,1,2,-2,0,0.1,1,0,0,1,1,0,0,16,6.3,78,5:13
520,Ville Nieminen\niemivi01,29,TOT,LW,44,1,1,2,-8,43,-0.7,1,0,0,0,1,0,0,43,2.3,387,8:47
521,Joe Nieuwendyk*\nieuwjo01,40,FLA,C,15,5,3,8,-4,4,0.8,3,2,0,2,1,2,0,30,16.7,201,13:24
522,Janne Niinimaa\niinija01,31,MTL,D,41,0,3,3,-13,36,0.0,0,0,0,0,3,0,0,29,0.0,609,14:51
523,Marcus Nilson\nilsoma01,28,CGY,LW,63,5,10,15,7,27,0.7,5,0,0,1,10,0,0,69,7.2,826,13:07
524,Robert Nilsson\nilssro01,22,EDM,C,4,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,8,12.5,69,17:21
525,Owen Nolan\nolanow01,34,PHX,RW,76,16,24,40,-2,56,3.6,11,2,3,1,14,10,0,154,10.4,1172,15:25
526,Jonas Nordqvist\nordqjo01,24,CHI,C,3,0,2,2,1,2,0.2,0,0,0,0,2,0,0,2,0.0,42,13:55
527,Mattias Norström\norstma01,35,TOT,D,76,2,9,11,-18,48,1.7,2,0,0,0,8,0,1,60,3.3,1562,20:33
528,Brad Norton\nortobr01,31,DET,D,6,0,1,1,2,20,0.3,0,0,0,0,1,0,0,2,0.0,25,4:08
529,Filip Novak\novakfi01,24,CBJ,D,6,0,0,0,1,2,0.2,0,0,0,0,0,0,0,3,0.0,60,9:55
530,Jiri Novotny\novotji01,23,TOT,C,68,6,13,19,-4,28,0.5,6,0,0,0,13,0,0,79,7.6,879,12:56
531,Petteri Nummelin\nummepe01,34,MIN,D,51,3,17,20,-15,22,2.9,3,0,0,0,4,13,0,69,4.3,1035,20:17
532,Teppo Numminen\nummite01,38,BUF,D,79,2,27,29,17,32,4.4,2,0,0,0,14,12,1,69,2.9,1643,20:48
533,Lawrence Nycholat\nychola01,27,TOT,D,19,2,6,8,-3,12,1.1,2,0,0,0,4,2,0,25,8.0,382,20:07
534,Michael Nylander\nylanmi01,34,NYR,C,79,26,57,83,12,42,9.0,12,14,0,4,34,23,0,193,13.5,1610,20:23
535,Shane O'Brien\obriesh01,23,TOT,D,80,2,14,16,-3,176,3.0,1,1,0,2,11,3,0,72,2.8,1198,14:59
536,Sean O'Donnell\odonnse01,35,ANA,D,79,2,15,17,9,92,4.6,2,0,0,1,14,0,1,47,4.3,1574,19:55
537,Jeff O'Neill\oneilje01,30,TOR,C,74,20,22,42,1,54,4.3,14,6,0,3,17,5,0,165,12.1,1016,13:43
538,Patrick O'Sullivan\osullpa01,21,LAK,C,44,5,14,19,-6,14,1.1,3,2,0,1,7,7,0,92,5.4,619,14:04
539,Johnny Oduya\oduyajo01,25,NJD,D,76,2,9,11,-5,61,3.5,2,0,0,0,7,2,0,55,3.6,1407,18:31
540,Mattias Öhlund\ohlunma01,30,VAN,D,77,11,20,31,-3,80,7.0,5,6,0,2,11,9,0,170,6.5,1909,24:47
541,Rostislav Olesz\oleszro01,21,FLA,C,75,11,19,30,2,28,2.0,9,2,0,2,17,1,1,164,6.7,1163,15:30
542,Ben Ondrus\ondrube01,24,TOR,RW,16,0,2,2,-5,20,-0.2,0,0,0,0,2,0,0,7,0.0,78,4:54
543,Brooks Orpik\orpikbr01,26,PIT,D,70,0,6,6,4,82,1.9,0,0,0,0,4,2,0,59,0.0,1163,16:37
544,Colton Orr\orrco01,24,NYR,RW,53,2,1,3,-2,126,0.0,2,0,0,1,1,0,0,23,8.7,282,5:20
545,Jed Ortmeyer\ortmeje01,28,NYR,RW,41,2,9,11,7,22,0.7,1,0,1,0,8,0,1,67,3.0,516,12:35
546,Steve Ott\ottst01,24,DAL,C,19,0,4,4,-4,35,0.0,0,0,0,0,3,1,0,17,0.0,175,9:11
547,Michel Ouellet\ouellmi01,24,PIT,RW,73,19,29,48,-3,30,4.9,8,11,0,2,21,8,0,148,12.8,973,13:20
548,Alex Ovechkin\ovechal01,21,WSH,LW,82,46,46,92,-19,52,10.5,30,16,0,8,25,21,0,392,11.7,1754,21:23
549,Sandis Ozolinsh\ozolisa01,34,NYR,D,21,0,3,3,-8,8,0.2,0,0,0,0,2,1,0,15,0.0,396,18:51
550,Nathan Paetsch\paetsna01,23,BUF,D,63,2,22,24,10,50,3.4,2,0,0,0,13,9,0,62,3.2,961,15:15
551,Samuel Pahlsson\pahlssa01,29,ANA,C,82,8,18,26,-4,42,0.8,8,0,0,1,18,0,0,111,7.2,1424,17:22
552,Daniel Paille\paillda01,22,BUF,LW,29,3,8,11,5,18,0.8,3,0,0,0,7,0,1,45,6.7,371,12:47
553,Jay Pandolfo\pandoja01,32,NJD,LW,82,13,14,27,-5,8,1.7,12,0,1,1,13,0,1,109,11.9,1526,18:37
554,Ryan Parent\parenry01,19,PHI,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,14,14:10
555,P.A. Parenteau\parenpi01,23,CHI,LW,5,0,1,1,-1,2,0.0,0,0,0,0,0,1,0,7,0.0,55,11:05
556,Zach Parise\parisza01,22,NJD,LW,82,31,31,62,-3,30,7.2,22,9,0,7,18,13,0,247,12.6,1438,17:32
557,Richard Park\parkri01,30,NYI,RW,82,10,16,26,4,33,1.9,8,0,2,2,15,0,1,93,10.8,955,11:39
558,Scott Parker\parkesc01,29,TOT,RW,21,1,1,2,0,28,0.1,1,0,0,0,1,0,0,5,20.0,112,5:19
559,Mark Parrish\parrima01,29,MIN,RW,76,19,20,39,9,18,4.8,14,5,0,4,14,6,0,141,13.5,1089,14:20
560,George Parros\parroge01,27,TOT,RW,34,1,0,1,-3,102,-0.2,1,0,0,0,0,0,0,19,5.3,172,5:03
561,Joe Pavelski\paveljo01,22,SJS,C,46,14,14,28,4,18,3.4,9,5,0,3,8,6,0,111,12.6,691,15:02
562,Serge Payer\payerse01,27,OTT,C,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,35,7:01
563,Michael Peca\pecami01,32,TOR,C,35,4,11,15,2,60,0.8,4,0,0,2,10,0,1,42,9.5,609,17:25
564,Rod Pelley\pellero02,22,NJD,C,9,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,8,0.0,99,11:00
565,Ville Peltonen\peltovi01,33,FLA,LW,72,17,20,37,7,28,3.5,13,4,0,0,17,2,1,145,11.7,1182,16:25
566,Dustin Penner\pennedu01,24,ANA,RW,82,29,16,45,-2,58,5.5,20,9,0,5,9,7,0,204,14.2,1147,13:59
567,Alexander Perezhogin\perezal01,23,MTL,RW,61,6,9,15,11,48,1.4,5,1,0,1,9,0,0,103,5.8,723,11:51
568,Joel Perrault\perrajo01,23,TOT,C,26,1,2,3,-7,14,-0.3,1,0,0,0,2,0,0,31,3.2,264,10:08
569,Yanic Perreault\perreya01,35,TOT,C,66,21,17,38,-1,34,4.1,14,7,0,5,12,5,0,125,16.8,1026,15:33
570,Eric Perrin\perrier01,31,TBL,C,82,13,23,36,-7,30,2.4,10,2,1,0,16,5,2,151,8.6,1394,17:00
571,Corey Perry\perryco01,21,ANA,RW,82,17,27,44,12,55,4.9,13,4,0,3,11,16,0,194,8.8,1022,12:28
572,Andrew Peters\peteran01,26,BUF,LW,58,1,1,2,-1,125,-0.2,1,0,0,0,1,0,0,19,5.3,219,3:46
573,Toby Petersen\peterto01,28,EDM,C,64,6,9,15,-18,4,0.2,4,0,2,1,8,1,0,92,6.5,875,13:40
574,Ronald Petrovicky\petroro02,29,PIT,RW,31,3,3,6,4,28,0.6,3,0,0,1,3,0,0,27,11.1,259,8:20
575,Matt Pettinger\pettima01,26,WSH,LW,64,16,16,32,-13,22,2.5,9,4,3,2,8,6,2,111,14.4,1081,16:53
576,Rich Peverley\peverri01,24,NSH,C,13,0,1,1,-1,0,-0.1,0,0,0,0,1,0,0,9,0.0,98,7:31
577,Dion Phaneuf\phanedi01,21,CGY,D,79,17,33,50,10,98,8.8,4,13,0,4,15,18,0,230,7.4,2027,25:40
578,Chris Phillips\phillch02,28,OTT,D,82,8,18,26,36,80,6.8,7,0,1,3,14,0,4,94,8.5,1833,22:22
579,Alexandre Picard\picaral01,21,PHI,D,62,3,19,22,-19,17,2.4,2,1,0,0,13,6,0,56,5.4,1146,18:29
580,Alexandre Picard\picaral02,21,CBJ,LW,23,0,1,1,-3,6,-0.3,0,0,0,0,0,1,0,20,0.0,180,7:49
581,Tuomas Pihlman\pihlmtu01,24,NJD,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,13,6:32
582,Fernando Pisani\pisanfe01,30,EDM,RW,77,14,14,28,-1,40,2.4,11,2,1,0,11,2,1,142,9.9,1301,16:54
583,Joe Piskula\piskujo01,22,LAK,D,5,0,0,0,-3,6,-0.2,0,0,0,0,0,0,0,4,0.0,50,9:59
584,Joni Pitkänen\pitkajo01,23,PHI,D,77,4,39,43,-25,88,5.0,3,1,0,0,20,17,2,137,2.9,1890,24:33
585,Geoff Platt\plattge01,21,CBJ,C,26,4,5,9,1,10,1.0,4,0,0,0,4,1,0,40,10.0,262,10:04
586,Tomas Plekanec\plekato01,24,MTL,C,81,20,27,47,10,36,5.3,13,5,2,1,16,9,2,150,13.3,1294,15:59
587,Tomas Plihal\plihato01,23,SJS,C,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,10,0.0,29,9:44
588,Thomas Pock\pockth01,25,NYR,D,44,4,4,8,-4,16,1.8,4,0,0,0,2,2,0,76,5.3,714,16:14
589,John Pohl\pohljo01,27,TOR,C,74,13,16,29,-4,10,2.4,10,3,0,1,12,4,0,105,12.4,840,11:21
590,Roman Polák\polakro01,20,STL,D,19,0,0,0,-3,6,0.0,0,0,0,0,0,0,0,13,0.0,259,13:38
591,Vojtech Polak\polakvo01,21,DAL,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,15,7:43
592,Jason Pominville\pominja01,24,BUF,RW,82,34,34,68,25,30,8.1,30,2,2,5,21,11,2,212,16.0,1428,17:25
593,Alexei Ponikarovsky\ponikal01,26,TOR,LW,71,21,24,45,8,63,4.6,15,6,0,1,19,5,0,198,10.6,1214,17:06
594,Mark Popovic\popovma01,24,ATL,D,3,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,31,10:15
595,Brian Pothier\pothibr01,29,WSH,D,72,3,25,28,-11,44,3.5,1,2,0,0,12,13,0,118,2.5,1727,23:59
596,Tom Poti\potito01,29,NYI,D,78,6,38,44,-1,74,6.3,0,6,0,1,11,26,1,134,4.5,2006,25:43
597,Ryan Potulny\potulry01,22,PHI,C,35,7,5,12,1,22,1.3,7,0,0,2,4,1,0,56,12.5,385,11:00
598,Benoit Pouliot\poulibe01,20,MIN,LW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,21,6:58
599,Marc Pouliot\poulima01,21,EDM,C,46,4,7,11,-2,18,0.6,4,0,0,0,6,1,0,73,5.5,600,13:03
600,Nolan Pratt\prattno01,31,TBL,D,81,1,7,8,0,44,2.2,1,0,0,0,6,0,1,30,3.3,1279,15:47
601,Tom Preissing\preisto01,28,OTT,D,80,7,31,38,40,18,8.1,4,3,0,0,16,15,0,94,7.4,1220,15:15
602,Wayne Primeau\primewa01,30,TOT,C,78,10,12,22,-17,111,0.8,6,2,2,3,11,1,0,107,9.3,1056,13:33
603,David Printz\printda01,26,PHI,D,12,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,1,0.0,79,6:33
604,Chris Pronger*\prongch01,32,ANA,D,66,13,46,59,27,69,11.7,5,8,0,2,18,28,0,166,7.8,1789,27:06
605,Vinny Prospal\prospva01,31,TBL,C,82,14,41,55,-24,36,3.5,12,2,0,1,31,10,0,219,6.4,1563,19:04
606,Petr Prucha\pruchpe01,24,NYR,C,79,22,18,40,-7,30,4.4,14,8,0,2,10,8,0,136,16.2,1027,13:00
607,Brandon Prust\prustbr01,22,CGY,C,10,0,0,0,1,25,-0.1,0,0,0,0,0,0,0,1,0.0,61,6:03
608,Konstantin Pushkarev\pushkko01,21,LAK,RW,16,2,2,4,-2,8,0.3,2,0,0,0,2,0,0,10,20.0,147,9:10
609,Taylor Pyatt\pyattta01,25,VAN,LW,76,23,14,37,5,42,4.7,14,9,0,4,12,2,0,150,15.3,1061,13:58
610,Kyle Quincey\quincky01,21,DET,D,6,1,0,1,0,0,0.3,1,0,0,0,0,0,0,7,14.3,69,11:26
611,Deron Quint\quintde01,30,NYI,D,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,53,10:34
612,Karel Rachunek\rachuka01,27,NYR,D,66,6,20,26,-9,38,4.2,1,4,1,1,9,11,0,99,6.1,1279,19:23
613,Branko Radivojevic\radivbr01,26,MIN,RW,82,11,13,24,-9,21,1.7,7,4,0,3,9,4,0,116,9.5,1064,12:59
614,Alexander Radulov\radulal01,20,NSH,RW,64,18,19,37,19,26,4.9,13,5,0,4,13,6,0,96,18.8,745,11:38
615,Brian Rafalski\rafalbr01,33,NJD,D,82,8,47,55,4,34,10.4,4,3,1,4,20,27,0,148,5.4,2090,25:29
616,Paul Ranger\rangepa01,22,TBL,D,72,4,24,28,5,42,5.1,4,0,0,2,18,5,1,90,4.4,1463,20:19
617,Erik Rasmussen\rasmuer01,29,NJD,C,71,3,7,10,-3,25,0.3,3,0,0,0,7,0,0,80,3.8,672,9:28
618,Mike Rathje\rathjmi01,32,PHI,D,18,0,1,1,-7,6,0.0,0,0,0,0,1,0,0,13,0.0,375,20:49
619,Marty Reasoner\reasoma01,29,EDM,C,72,6,14,20,-15,60,0.6,6,0,0,1,12,0,2,84,7.1,999,13:52
620,Mark Recchi*\recchma01,38,PIT,RW,82,24,44,68,1,62,6.4,10,14,0,3,30,13,1,190,12.6,1616,19:42
621,Wade Redden\reddewa01,29,OTT,D,64,7,29,36,1,50,4.8,3,4,0,3,14,15,0,122,5.7,1466,22:54
622,Richie Regehr\regehri01,24,CGY,D,6,1,1,2,-1,0,0.3,0,1,0,0,0,1,0,4,25.0,52,8:44
623,Robyn Regehr\regehro01,26,CGY,D,78,2,19,21,27,75,5.4,2,0,0,0,12,5,2,66,3.0,1709,21:55
624,Steve Regier\regiest01,22,NYI,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,5,4:41
625,Jeremy Reich\reichje01,27,BOS,C,32,0,1,1,-10,63,-0.7,0,0,0,0,1,0,0,27,0.0,263,8:14
626,Brandon Reid\reidbr01,25,VAN,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,8,0.0,35,11:43
627,Darren Reid\reidda03,23,PHI,RW,14,0,0,0,-7,18,-0.5,0,0,0,0,0,0,0,8,0.0,114,8:11
628,Steve Reinprecht\reinpst01,30,PHX,C,49,9,24,33,-3,28,2.8,7,2,0,1,14,10,0,71,12.7,768,15:40
629,Erik Reitz\reitzer01,24,MIN,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,11,10:36
630,Mike Ribeiro\ribeimi01,26,DAL,C,81,18,41,59,3,22,6.3,12,6,0,3,20,21,0,111,16.2,1210,14:56
631,Mike Ricci\riccimi01,35,PHX,C,7,0,1,1,-1,4,-0.1,0,0,0,0,1,0,0,4,0.0,69,9:54
632,Brad Richards\richabr01,26,TBL,C,82,25,45,70,-19,23,5.6,12,12,1,3,23,21,1,272,9.2,1977,24:07
633,Mike Richards\richami02,21,PHI,C,59,10,22,32,-12,52,2.0,5,1,4,3,17,5,0,130,7.7,1052,17:50
634,Brad Richardson\richabr02,21,COL,RW,73,14,8,22,4,28,2.0,11,0,3,3,8,0,0,129,10.9,961,13:10
635,Luke Richardson\richalu01,37,TBL,D,27,0,3,3,3,16,0.7,0,0,0,0,3,0,0,3,0.0,192,7:07
636,Danny Richmond\richmda01,22,CHI,D,22,0,2,2,-1,48,0.4,0,0,0,0,2,0,0,13,0.0,271,12:20
637,Patrick Rissmiller\rissmpa01,28,SJS,C,79,7,15,22,1,22,1.5,6,1,0,0,12,2,1,100,7.0,961,12:10
638,Byron Ritchie\ritchby01,29,CGY,C,64,8,6,14,3,68,1.1,7,0,1,0,5,0,1,46,17.4,625,9:46
639,Jamie Rivers\riverja01,31,STL,D,31,1,3,4,-7,36,0.3,0,1,0,0,2,0,1,17,5.9,440,14:11
640,Craig Rivet\rivetcr01,32,TOT,D,71,7,17,24,1,69,5.2,5,2,0,0,7,9,1,89,7.9,1537,21:39
641,Gary Roberts\roberga01,40,TOT,LW,69,20,22,42,0,97,4.1,14,6,0,4,13,9,0,125,16.0,1154,16:43
642,Stephane Robidas\robidst01,29,DAL,D,75,0,17,17,-1,86,4.1,0,0,0,0,6,11,0,106,0.0,1355,18:04
643,Randy Robitaille\robitra01,31,TOT,C,78,11,29,40,-6,44,2.9,8,3,0,1,23,6,0,120,9.2,1103,14:08
644,Travis Roche\rochetr01,28,PHX,D,50,6,13,19,2,22,3.6,4,2,0,1,6,7,0,32,18.8,851,17:01
645,Jeremy Roenick\roenije01,37,PHX,C,70,11,17,28,-18,32,1.5,7,4,0,1,13,4,0,89,12.4,973,13:54
646,Brian Rolston\rolstbr01,33,MIN,RW,78,31,33,64,6,46,7.6,17,13,1,6,11,21,1,305,10.2,1659,21:16
647,Aaron Rome\romeaa01,23,ANA,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,15,14:31
648,Allan Rourke\rourkal01,26,NYI,D,11,0,1,1,0,4,0.2,0,0,0,0,1,0,0,1,0.0,117,10:40
649,Andre Roy\royan01,31,TOT,RW,56,1,2,3,-4,128,-0.2,1,0,0,0,2,0,0,15,6.7,250,4:27
650,Derek Roy\royde01,23,BUF,C,75,21,42,63,37,60,6.8,14,6,1,3,33,8,1,130,16.2,1385,18:28
651,Mathieu Roy\royma01,23,EDM,D,16,2,0,2,-7,30,0.2,2,0,0,0,0,0,0,18,11.1,226,14:06
652,Michal Rozsíval\rozsimi01,28,NYR,D,80,10,30,40,10,52,8.3,3,7,0,3,15,13,2,104,9.6,1902,23:46
653,Steve Rucchin\rucchst01,35,ATL,C,47,5,16,21,-4,14,0.9,4,1,0,1,12,3,1,56,8.9,862,18:20
654,Martin Rucinsky\rucinma01,35,STL,LW,52,12,21,33,-3,48,2.9,8,4,0,3,14,7,0,96,12.5,870,16:43
655,Mike Rupp\ruppmi01,27,NJD,RW,76,6,3,9,-10,92,0.4,6,0,0,1,2,1,0,60,10.0,490,6:27
656,Jarkko Ruutu\ruutuja01,31,PIT,LW,81,7,9,16,0,125,0.9,7,0,0,2,9,0,0,63,11.1,756,9:20
657,Tuomo Ruutu\ruututu01,23,CHI,C,71,17,21,38,4,95,3.8,16,1,0,1,14,7,0,115,14.8,1232,17:21
658,Stefan Ruzicka\ruzicst01,21,PHI,RW,40,3,10,13,-6,18,0.5,2,1,0,0,7,3,0,75,4.0,509,12:44
659,Michael Ryan\ryanmi01,26,BUF,C,19,3,2,5,-8,2,-0.1,2,0,1,0,2,0,0,34,8.8,260,13:40
660,Mark Rycroft\rycroma01,28,COL,RW,66,6,6,12,3,31,0.8,6,0,0,2,6,0,0,74,8.1,622,9:25
661,Michael Ryder\rydermi01,26,MTL,RW,82,30,28,58,-25,60,6.0,11,17,2,3,11,17,0,221,13.6,1335,16:17
662,Rick Rypien\rypieri01,22,VAN,C,2,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,10,4:46
663,Joe Sakic*\sakicjo01,37,COL,C,82,36,64,100,2,46,10.8,20,16,0,4,37,27,0,258,14.0,1655,20:11
664,Ruslan Salei\saleiru01,32,FLA,D,82,6,26,32,-13,102,4.1,4,2,0,0,8,18,0,148,4.1,1913,23:20
665,Tony Salmelainen\salmeto01,25,CHI,LW,57,6,11,17,-3,26,1.3,6,0,0,1,10,1,0,54,11.1,563,9:52
666,Sami Salo\salosa01,32,VAN,D,67,14,23,37,21,26,9.1,9,5,0,6,10,13,0,143,9.8,1437,21:27
667,Bryce Salvador\salvabr01,30,STL,D,64,2,5,7,-5,55,1.5,2,0,0,0,5,0,0,40,5.0,1263,19:44
668,Sergei Samsonov\samsose01,28,MTL,LW,63,9,17,26,-4,10,2.0,9,0,0,0,13,4,0,114,7.9,881,13:59
669,Mikael Samuelsson\samuemi01,30,DET,RW,53,14,20,34,1,28,3.6,8,6,0,2,12,8,0,189,7.4,803,15:09
670,Geoff Sanderson\sandege01,34,PHI,LW,58,11,18,29,-16,44,2.1,8,3,0,2,13,4,1,143,7.7,811,13:59
671,Tommi Santala\santato01,27,VAN,C,30,1,5,6,0,24,0.4,1,0,0,0,5,0,0,20,5.0,221,7:22
672,Oleg Saprykin\sapryol01,25,TOT,LW,71,15,21,36,5,58,3.8,13,2,0,2,19,2,0,150,10.0,885,12:28
673,Cory Sarich\saricco01,28,TBL,D,82,0,15,15,-6,70,2.5,0,0,0,0,14,0,1,64,0.0,1485,18:07
674,Miroslav Satan\satanmi01,32,NYI,RW,81,27,32,59,-12,46,5.3,19,7,1,2,18,14,0,216,12.5,1505,18:35
675,Kurt Sauer\sauerku01,26,COL,D,48,0,6,6,-3,24,1.0,0,0,0,0,5,0,1,29,0.0,880,18:20
676,Marc Savard\savarma01,29,BOS,C,82,22,74,96,-19,96,8.7,11,10,1,3,35,39,0,221,10.0,1658,20:13
677,Dave Scatchard\scatcda01,30,PHX,C,46,3,5,8,-18,72,-0.7,3,0,0,1,4,0,1,77,3.9,622,13:31
678,Peter Schaefer\schaepe01,29,OTT,LW,77,12,34,46,7,32,3.5,7,5,0,2,25,8,1,132,9.1,1288,16:44
679,Mathieu Schneider\schnema01,37,DET,D,68,11,41,52,12,66,9.1,8,2,1,2,12,29,0,184,6.0,1603,23:35
680,Rob Schremp\schrero01,20,EDM,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,14,13:50
681,Christoph Schubert\schubch01,24,OTT,D,80,8,17,25,30,56,6.0,7,1,0,1,16,1,0,97,8.2,898,11:13
682,Jeff Schultz\schulje02,20,WSH,D,38,0,3,3,5,16,1.1,0,0,0,0,3,0,0,22,0.0,692,18:13
683,Jesse Schultz\schulje01,24,VAN,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,20,10:09
684,Nick Schultz\schulni01,24,MIN,D,82,2,10,12,0,42,4.2,2,0,0,1,10,0,0,69,2.9,1657,20:13
685,Rob Scuderi\scudero01,28,PIT,D,78,1,10,11,3,28,2.6,1,0,0,0,9,0,1,31,3.2,1467,18:49
686,Brent Seabrook\seabrbr01,21,CHI,D,81,4,20,24,-6,104,4.3,4,0,0,0,14,4,2,144,2.8,1683,20:46
687,Daniel Sedin\sedinda01,26,VAN,LW,81,36,48,84,19,36,10.7,20,16,0,8,30,18,0,236,15.3,1463,18:04
