Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,30,MTL,29,27,11,12,5,76,817,741,.907,2.68,0,4.7,1703,12,.444,2,101,-0.73,0,0,0,2
2,Frederik Andersen\anderfr01,31,TOR,24,23,13,8,3,70,668,598,.895,2.96,0,3.0,1420,9,.391,6,114,-8.46,0,1,1,0
3,Craig Anderson\andercr01,39,WSH,4,2,2,1,0,6,71,65,.915,2.13,0,0.5,169,1,.500,0,,,0,0,0,0
4,Jonathan Bernier\bernijo01,32,DET,24,23,9,11,1,65,757,692,.914,2.99,0,5.0,1306,15,.652,4,93,4.74,0,0,0,0
5,Jordan Binnington\binnijo01,27,STL,42,41,18,14,8,108,1200,1092,.910,2.65,0,7.3,2448,21,.512,5,98,2.56,0,1,1,2
6,Mackenzie Blackwood\blackma01,24,NJD,35,35,14,17,4,106,1081,975,.902,3.04,1,5.7,2091,18,.514,10,106,-6.41,0,0,0,0
7,Sergei Bobrovsky\bobrose01,32,FLA,31,30,19,8,2,88,935,847,.906,2.91,0,5.3,1816,16,.533,4,102,-1.86,0,0,0,0
8,Laurent Brossoit\brossla01,27,WPG,14,11,6,6,0,30,368,338,.918,2.42,1,2.6,744,7,.636,0,88,3.90,0,0,0,0
9,Jack Campbell\campbja01,29,TOR,22,22,17,3,2,46,585,539,.921,2.15,2,4.3,1284,13,.591,2,85,7.90,0,0,0,0
10,Eric Comrie\comrier01,25,NJD,1,1,1,0,0,3,33,30,.909,3.00,0,0.2,60,1,1.000,0,,,0,0,0,0
11,Joey Daccord\daccojo01,24,OTT,8,6,1,3,1,22,214,192,.897,3.27,0,1.0,403,3,.500,1,,,0,0,0,0
12,Oscar Dansk\danskos01,26,VEG,1,1,1,0,0,4,29,25,.862,3.91,0,0.0,61,0,.000,0,,,0,0,0,0
13,Collin Delia\deliaco01,26,CHI,6,5,1,3,1,20,205,185,.902,3.59,0,1.1,334,1,.200,1,,,0,0,0,0
14,Aaron Dell\dellaa01,31,NJD,7,5,1,5,0,22,154,132,.857,4.14,0,0.1,319,1,.200,1,,,0,0,0,0
15,Thatcher Demko\demkoth01,25,VAN,35,35,16,18,1,99,1164,1065,.915,2.85,1,7.8,2087,19,.543,3,92,8.24,0,0,0,0
16,Casey DeSmith\desmica01,29,PIT,20,17,11,7,0,48,543,495,.912,2.54,2,3.4,1132,9,.529,2,96,2.03,0,1,1,0
17,Louis Domingue\dominlo01,28,CGY,1,1,0,1,0,3,23,20,.870,3.12,0,0.0,58,0,.000,0,,,0,0,0,0
18,Chris Driedger\driedch01,26,FLA,23,23,14,6,3,47,640,593,.927,2.07,3,5.1,1362,15,.652,3,80,11.96,0,2,2,0
19,Devan Dubnyk\dubnyde01,34,TOT,22,18,6,11,2,63,602,539,.895,3.20,1,2.7,1183,8,.444,4,114,-7.54,0,0,0,2
20,Brian Elliott\elliobr01,35,PHI,30,26,15,9,2,82,738,656,.889,3.06,2,2.8,1608,12,.462,8,121,-14.01,0,1,1,0
21,Marc-Andre Fleury\fleurma01,36,VEG,36,36,26,10,0,71,989,918,.928,1.98,6,8.0,2147,26,.722,3,78,20.12,0,1,1,2
22,Anton Forsberg\forsban01,28,OTT,8,8,3,4,1,24,264,240,.909,3.21,0,1.6,449,6,.750,1,99,0.32,0,0,0,0
23,Alexandar Georgiev\georgal01,24,NYR,19,18,8,7,2,44,465,421,.905,2.71,2,2.6,974,9,.500,3,103,-1.16,0,1,1,0
24,Christopher Gibson\gibsoch01,28,TBL,2,2,1,1,0,5,40,35,.875,2.66,0,0.1,113,1,.500,1,,,0,0,0,0
25,John Gibson\gibsojo02,27,ANA,35,35,9,19,7,101,1042,941,.903,2.98,3,5.6,2031,15,.429,7,105,-5.00,0,0,0,2
26,Thomas Greiss\greisth01,35,DET,34,29,8,15,8,79,894,815,.912,2.70,2,5.6,1755,17,.586,4,96,3.36,0,0,0,2
27,Troy Grosenick\grosetr01,31,LAK,2,2,1,1,0,6,77,71,.922,3.00,0,0.6,120,1,.500,0,,,0,0,0,0
28,Philipp Grubauer\grubaph01,29,COL,40,39,30,9,1,77,993,916,.922,1.95,7,7.4,2367,26,.667,5,84,14.48,0,2,2,0
29,Filip Gustavsson\gustafi01,22,OTT,9,7,5,1,2,17,254,237,.933,2.16,0,2.2,472,6,.857,0,73,6.40,0,0,0,0
30,Jaroslav Halak\halakja01,35,BOS,19,17,9,6,4,46,482,436,.905,2.53,2,2.7,1090,9,.529,3,104,-1.59,0,0,0,0
31,Carter Hart\hartca01,22,PHI,27,25,9,11,5,89,721,632,.877,3.67,1,1.8,1456,9,.360,8,134,-22.57,0,0,0,2
32,Connor Hellebuyck\helleco01,27,WPG,45,45,24,17,3,112,1335,1223,.916,2.58,4,9.1,2603,25,.556,6,91,10.99,0,0,0,0
33,Adin Hill\hillad01,24,ARI,19,17,9,9,1,46,530,484,.913,2.74,2,3.4,1006,8,.471,2,94,2.83,0,0,0,0
34,Marcus Hogberg\hogbema01,26,OTT,14,10,4,7,0,40,322,282,.876,3.74,0,0.8,642,3,.300,3,135,-10.33,0,0,0,0
35,Braden Holtby\holtbbr01,31,VAN,21,21,7,11,3,77,695,618,.889,3.67,0,2.7,1260,7,.333,5,120,-12.97,0,1,1,0
36,Michael Houser\housemi01,28,BUF,4,4,2,2,0,14,141,127,.901,3.46,0,0.7,243,3,.750,1,,,0,0,0,0
37,Ville Husso\hussovi01,25,STL,17,15,9,6,1,49,460,411,.893,3.21,1,2.0,917,7,.467,2,116,-6.62,0,0,0,4
38,Michael Hutchinson\hutchmi01,30,TOR,8,8,4,2,1,17,211,194,.919,2.42,1,1.5,422,5,.625,1,,,0,0,0,0
39,Carter Hutton\huttoca01,35,BUF,13,12,1,10,1,39,341,302,.886,3.47,0,1.2,675,6,.500,4,124,-7.58,0,0,0,0
40,Tristan Jarry\jarrytr01,25,PIT,39,38,25,9,3,100,1100,1000,.909,2.75,2,6.6,2185,24,.632,7,99,1.34,0,4,4,8
41,Jonas Johansson\johanjo03,25,TOT,15,13,5,6,2,39,380,341,.897,2.86,1,1.8,817,6,.462,2,111,-3.99,0,0,0,0
42,Martin Jones\jonesma02,31,SJS,34,34,15,13,4,102,980,878,.896,3.28,1,4.5,1868,15,.441,12,113,-11.71,0,0,0,0
43,Kaapo Kahkonen\kahkoka01,24,MIN,24,23,16,8,0,68,692,624,.902,2.88,2,3.6,1414,10,.435,3,107,-4.25,0,0,0,2
44,Kasimir Kaskisuo\kaskika01,27,NSH,1,0,0,0,0,0,3,3,1.000,0.00,0,0.0,15,0,,0,,,0,0,0,0
45,Anton Khudobin\khudoan01,34,DAL,32,32,12,11,7,76,799,723,.905,2.54,3,4.4,1795,17,.531,8,103,-2.39,0,2,2,2
46,Keith Kinkaid\kinkake01,31,NYR,9,7,3,2,1,21,205,184,.898,2.59,1,1.0,486,3,.429,3,,,0,0,0,0
47,Matiss Kivlenieks\kivlema01,24,CBJ,2,2,1,1,0,7,71,64,.901,3.40,0,0.4,123,1,.500,0,,,0,0,0,0
48,Spencer Knight\knighsp01,19,FLA,4,3,4,0,0,8,99,91,.919,2.32,0,0.7,207,1,.333,0,,,0,0,0,0
49,Josef Korenar\korenjo01,23,SJS,10,7,3,5,0,26,258,232,.899,3.17,0,1.3,492,3,.429,1,109,-2.23,0,0,0,0
50,Joonas Korpisalo\korpijo01,26,CBJ,33,31,9,13,7,96,904,808,.894,3.30,0,3.9,1747,13,.419,8,115,-12.71,0,1,1,2
51,Mikko Koskinen\koskimi01,32,EDM,26,25,13,13,0,76,756,680,.899,3.17,0,3.8,1438,12,.480,4,109,-6.35,0,2,2,0
52,Darcy Kuemper\kuempda01,30,ARI,27,27,10,11,3,66,710,644,.907,2.56,2,4.1,1547,15,.556,3,101,-0.59,0,0,0,4
53,Maxime Lagace\lagacma01,28,PIT,1,1,1,0,0,0,29,29,1.000,0.00,1,0.5,60,1,1.000,0,,,0,0,0,0
54,Kevin Lankinen\lankike01,25,CHI,37,37,17,14,5,109,1204,1095,.909,3.01,2,7.3,2175,19,.514,5,98,1.92,0,2,2,2
55,Robin Lehner\lehnero01,29,VEG,19,19,13,4,2,44,505,461,.913,2.29,1,3.2,1155,12,.632,4,95,2.53,0,1,1,0
56,Ukko-Pekka Luukkonen\luukkuk01,21,BUF,4,4,1,3,0,14,149,135,.906,3.88,0,0.8,217,1,.250,0,,,0,0,0,0
57,Alex Lyon\lyonal01,28,PHI,6,5,1,3,1,18,169,151,.893,3.33,0,0.7,324,2,.400,2,,,0,0,0,0
58,Jacob Markstrom\marksja02,31,CGY,43,43,22,19,2,111,1161,1050,.904,2.66,3,6.4,2508,23,.535,8,104,-4.04,0,0,0,2
59,Curtis McElhinney\mcelhcu01,37,TBL,12,12,4,6,2,37,296,259,.875,3.09,1,0.7,719,5,.417,4,136,-9.73,0,0,0,2
60,Alexei Melnichuk\melnial01,22,SJS,3,2,0,1,1,11,81,70,.864,5.05,0,0.1,131,0,.000,1,,,0,0,0,0
61,Elvis Merzlikins\merzlel01,26,CBJ,28,23,8,12,5,69,825,756,.916,2.77,2,5.6,1497,14,.609,2,91,7.01,0,1,1,0
62,Ryan Miller\millery01,40,ANA,16,14,4,8,2,51,432,381,.882,3.51,0,1.3,871,5,.357,4,128,-11.20,0,0,0,0
63,Hunter Miska\miskahu01,25,COL,5,5,1,1,2,18,111,93,.838,4.16,0,-0.2,260,1,.200,2,,,0,0,0,0
64,Petr Mrazek\mrazepe01,28,CAR,12,12,6,2,3,23,298,275,.923,2.06,3,2.2,671,7,.583,1,84,4.45,0,0,0,0
65,Matt Murray\murrama02,26,OTT,27,25,10,13,1,79,738,659,.893,3.38,2,3.1,1404,14,.560,8,116,-11.01,0,1,1,2
66,Alex Nedeljkovic\nedelal01,25,CAR,23,23,15,5,3,44,648,604,.932,1.90,3,5.5,1392,15,.652,0,74,15.70,0,1,1,2
67,Jake Oettinger\oettija01,22,DAL,29,24,11,8,7,63,710,647,.911,2.36,1,4.4,1604,12,.500,3,96,2.41,0,1,1,4
68,Calvin Petersen\peterca01,26,LAK,35,32,9,18,5,97,1095,998,.911,2.89,0,6.9,2016,16,.500,3,96,3.88,0,1,1,0
69,Calvin Pickard\pickaca01,28,DET,6,4,2,1,1,16,127,111,.874,3.16,0,0.3,304,2,.500,1,,,0,0,0,0
70,Carey Price\priceca01,33,MTL,25,25,12,7,5,65,659,594,.901,2.64,1,3.4,1479,14,.560,6,107,-4.29,0,0,0,0
71,Cayden Primeau\primeca01,21,MTL,4,4,1,2,1,14,93,79,.849,4.16,0,0.0,202,1,.250,2,,,0,0,0,0
72,Ivan Prosvetov\prosviv01,21,ARI,3,1,0,1,0,9,51,42,.824,4.15,0,-0.2,130,0,.000,1,,,0,0,0,0
73,Jonathan Quick\quickjo01,35,LAK,22,22,11,9,2,58,566,508,.898,2.86,2,2.7,1219,10,.455,4,111,-5.85,0,0,0,0
74,Antti Raanta\raantan01,31,ARI,12,11,5,5,2,38,401,363,.905,3.36,0,2.2,679,6,.545,2,103,-1.06,0,0,0,0
75,Tuukka Rask\rasktu01,33,BOS,24,24,15,5,2,53,611,558,.913,2.28,2,4.0,1396,16,.667,5,94,3.29,0,2,2,0
76,James Reimer\reimeja01,32,CAR,22,21,15,5,2,59,627,568,.906,2.66,0,3.6,1331,10,.476,1,102,-1.23,0,0,0,0
77,Pekka Rinne\rinnepe01,38,NSH,24,21,10,12,1,62,664,602,.907,2.84,2,3.8,1310,12,.571,3,101,-0.83,0,1,1,0
78,David Rittich\rittida01,28,TOT,19,15,5,8,2,46,463,417,.901,2.86,1,2.4,966,7,.467,3,108,-3.34,0,0,0,0
79,Ilya Samsonov\samsoil01,23,WSH,19,18,13,4,1,49,499,450,.902,2.69,2,2.6,1093,7,.389,3,107,-3.03,0,1,1,0
80,Juuse Saros\sarosju01,25,NSH,36,35,21,11,1,78,1073,995,.927,2.28,3,8.6,2052,22,.629,5,79,20.86,0,0,0,2
81,Igor Shesterkin\shestig01,25,NYR,35,31,16,14,3,83,987,904,.916,2.62,2,6.7,1899,20,.645,2,91,7.93,0,0,0,0
82,Stuart Skinner\skinnst01,22,EDM,1,1,1,0,0,5,38,33,.868,5.03,0,0.1,60,0,.000,0,,,0,0,0,0
83,Mike Smith\smithmi01,38,EDM,32,30,21,6,2,71,921,850,.923,2.31,3,6.9,1847,19,.633,3,84,13.85,0,2,2,6
84,Ilya Sorokin\sorokil01,25,NYI,22,21,13,6,3,46,563,517,.918,2.17,3,4.0,1272,15,.714,3,89,5.87,0,0,0,0
85,Anthony Stolarz\stolaan01,27,ANA,8,7,4,3,0,17,230,213,.926,2.20,1,1.8,464,5,.714,1,80,4.19,0,1,1,0
86,Malcolm Subban\subbama01,27,CHI,16,14,6,8,1,47,471,424,.900,3.20,2,2.4,881,6,.429,4,108,-3.61,0,0,0,0
87,Jeremy Swayman\swaymje01,22,BOS,10,10,7,3,0,15,271,256,.945,1.50,2,2.7,602,9,.900,0,60,9.97,0,0,0,0
88,Cam Talbot\talboca01,33,MIN,33,33,19,8,5,86,1008,922,.915,2.63,2,6.7,1961,21,.636,2,93,6.87,0,0,0,0
89,Logan Thompson\thomplo01,23,VEG,1,0,0,0,0,0,2,2,1.000,0.00,0,0.0,8,0,,0,,,0,0,0,0
90,Dustin Tokarski\tokardu01,31,BUF,13,10,2,8,2,43,447,404,.904,3.54,0,2.4,729,5,.500,1,104,-1.82,0,1,1,0
91,Linus Ullmark\ullmali01,27,BUF,20,20,9,6,3,49,591,542,.917,2.63,0,4.1,1117,11,.550,0,90,5.45,0,0,0,0
92,Vitek Vanecek\vanecvi01,25,WSH,37,36,21,10,4,95,1031,936,.908,2.69,2,6.1,2115,18,.500,6,100,-0.01,0,0,0,0
93,Semyon Varlamov\varlasi01,32,NYI,36,35,19,11,4,72,1020,948,.929,2.04,7,8.4,2117,26,.743,4,77,21.97,0,1,1,2
94,Andrei Vasilevskiy\vasilan02,26,TBL,42,42,31,10,1,93,1237,1144,.925,2.21,5,9.6,2524,24,.571,0,82,20.96,0,4,4,0
95,Veini Vehvilainen\vehvive01,23,CBJ,1,0,0,0,0,1,4,3,.750,5.63,0,0.0,11,0,,0,,,0,0,0,0
96,Daniel Vladar\vladada01,23,BOS,5,5,2,2,1,17,149,132,.886,3.40,0,0.5,300,2,.400,1,,,0,0,0,0
97,Scott Wedgewood\wedgesc01,28,NJD,16,15,3,8,3,46,458,412,.900,3.11,2,2.3,888,5,.333,4,109,-3.80,0,0,0,0
98,Artyom Zagidulin\zagidar01,25,CGY,1,0,0,0,0,2,11,9,.818,4.25,0,0.0,28,0,,0,,,0,0,0,0