,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,PPG,SHG,GWG,Shots,S%,TOI,BLK,HIT,FOW,Season
0,Vitaly Abramov\abramvi01,22,OTT,RW,2,0,0,0,0,0,0,0,0,0,,19,0,0,0,4
1,Noel Acciari\acciano01,29,FLA,C,41,4,7,11,0,9,1,0,1,68,5.9,631,63,91,272,4
2,Calen Addison\addisca01,20,MIN,D,3,0,0,0,0,0,0,0,0,4,0.0,56,1,2,0,4
3,Kenny Agostino\agostke01,28,TOR,LW,1,0,0,0,0,0,0,0,0,0,,4,0,0,0,4
4,Andrew Agozzino\agozzan01,30,ANA,LW,3,0,1,1,0,0,0,0,0,3,0.0,37,7,6,16,4
5,Jack Ahcan\ahcanja01,23,BOS,D,3,0,0,0,-3,0,0,0,0,5,0.0,62,5,2,0,4
6,Sebastian Aho\ahose01,23,CAR,F,56,24,33,57,16,32,7,3,7,148,16.2,1090,25,38,365,4
7,Sebastian Aho\ahose02,24,NYI,D,3,1,1,2,-1,2,0,0,0,4,25.0,40,2,1,0,4
8,Frederic Allard\allarfr01,23,NSH,D,1,0,0,0,-2,0,0,0,0,0,,17,1,0,0,4
9,Wade Allison\alliswa01,23,PHI,RW,14,4,3,7,1,4,1,0,1,24,16.7,181,10,28,0,4
10,Olle Alsing\alsinol01,24,OTT,D,4,0,0,0,-1,0,0,0,0,1,0.0,43,2,4,0,4
11,Mark Alt\altma01,29,LAK,D,2,0,0,0,0,2,0,0,0,3,0.0,27,1,2,0,4
12,Michael Amadio\amadimi01,24,TOT,C,25,0,3,3,-3,4,0,0,0,24,0.0,314,16,8,94,4
13,Joey Anderson\anderjo08,22,TOR,RW,1,0,0,0,1,2,0,0,0,0,,10,3,0,0,4
14,Josh Anderson\anderjo05,26,MTL,RW,52,17,7,24,-10,38,1,1,5,125,13.6,854,25,139,7,4
15,Michael Anderson\andermi02,21,LAK,D,54,1,10,11,0,30,0,0,1,52,1.9,1144,74,66,0,4
16,Jaret Anderson-Dolan\anderja01,21,LAK,C,34,7,4,11,-9,6,1,0,2,37,18.9,459,20,52,132,4
17,Lias Andersson\anderli01,22,LAK,C,23,3,3,6,-4,12,0,0,0,23,13.0,278,9,8,20,4
18,Rasmus Andersson\anderra01,24,CGY,D,56,5,16,21,-9,34,1,0,0,96,5.2,1189,68,49,0,4
19,Andy Andreoff\andrean01,29,PHI,LW,6,0,0,0,-6,9,0,0,0,2,0.0,52,1,14,15,4
20,Anthony Angello\angelan01,24,PIT,C,19,2,2,4,4,8,1,0,0,19,10.5,152,2,51,0,4
21,Artem Anisimov\anisiar01,32,OTT,C,19,2,7,9,1,2,1,0,0,30,6.7,228,9,9,36,4
22,Mason Appleton\applema01,25,WPG,C,56,12,13,25,11,14,0,0,1,88,13.6,807,22,61,7,4
23,Josh Archibald\archijo01,28,EDM,RW,52,7,6,13,2,37,0,0,0,62,11.3,704,35,192,4,4
24,Joel Armia\armiajo01,27,MTL,RW,41,7,7,14,10,10,1,1,0,73,9.6,603,13,86,6,4
25,Viktor Arvidsson\arvidvi01,27,NSH,LW,50,10,15,25,9,21,2,0,2,151,6.6,830,33,15,9,4
26,Rasmus Asplund\asplura01,23,BUF,F,28,7,4,11,1,0,0,0,2,34,20.6,360,3,15,6,4
27,Zach Aston-Reese\astonza01,26,PIT,C,45,9,6,15,10,15,0,1,0,79,11.4,658,24,95,7,4
28,Andreas Athanasiou\athanan01,26,LAK,C,47,10,13,23,-6,27,0,0,1,85,11.8,703,16,11,4,4
29,Cam Atkinson\atkinca01,31,CBJ,RW,56,15,19,34,-16,4,1,4,2,158,9.5,1060,30,22,7,4
30,Nicolas Aube-Kubel\aubekni01,24,PHI,RW,50,3,9,12,-3,44,0,0,0,53,5.7,559,16,120,2,4
31,David Backes\backeda01,36,ANA,C,15,3,1,4,-4,4,0,0,1,30,10.0,191,16,31,81,4
32,Mikael Backlund\backlmi01,31,CGY,C,54,9,23,32,-7,30,0,1,1,144,6.3,950,21,43,387,4
33,Nicklas Backstrom\backsni02,33,WSH,C,55,15,38,53,0,14,5,0,0,91,16.5,1023,27,25,353,4
34,Kevin Bahl\bahlke01,20,NJD,D,7,0,2,2,0,0,0,0,0,5,0.0,118,6,18,0,4
35,Josh Bailey\bailejo01,31,NYI,C,54,8,27,35,12,4,0,0,1,77,10.4,945,19,13,14,4
36,Justin Bailey\baileju01,25,VAN,RW,3,0,0,0,-2,2,0,0,0,6,0.0,20,0,2,0,4
37,Rudolfs Balcers\balceru01,23,SJS,LW,41,8,9,17,-6,16,0,0,2,66,12.1,603,29,81,0,4
38,Alexander Barabanov\barabal01,26,TOT,F,22,3,5,8,1,6,1,0,1,23,13.0,271,14,7,0,4
39,Ivan Barbashev\barbaiv01,25,STL,C,38,5,7,12,5,6,1,0,1,43,11.6,507,15,49,82,4
40,Aleksander Barkov\barkoal01,25,FLA,C,50,26,32,58,12,14,7,1,6,176,14.8,1047,37,31,563,4
41,Alex Barre-Boulet\barreal01,23,TBL,F,15,3,0,3,0,0,2,0,0,26,11.5,229,5,8,1,4
42,Tyson Barrie\barrity01,29,EDM,D,56,8,40,48,5,10,4,0,2,146,5.5,1198,59,26,0,4
43,Morgan Barron\barromo01,22,NYR,C,5,1,0,1,-1,2,0,0,0,3,33.3,68,2,12,9,4
44,Matt Bartkowski\bartkma01,32,MIN,D,1,0,0,0,-1,0,0,0,0,2,0.0,13,1,1,0,4
45,Mathew Barzal\barzama01,23,NYI,C,55,17,28,45,15,48,1,0,1,134,12.7,1030,13,22,152,4
46,Nathan Bastian\bastina01,23,NJD,RW,41,3,7,10,0,21,0,0,0,46,6.5,517,25,136,12,4
47,Drake Batherson\bathedr01,22,OTT,C,56,17,17,34,-17,8,5,0,3,111,15.3,923,29,102,5,4
48,Gavin Bayreuther\bayrega01,26,CBJ,D,9,1,0,1,-1,7,0,0,0,16,6.3,138,4,12,0,4
49,Jay Beagle\beaglja01,35,VAN,RW,30,1,4,5,-2,8,0,0,0,21,4.8,376,8,34,173,4
50,Jake Bean\beanja01,22,CAR,D,42,1,11,12,-2,10,1,0,0,55,1.8,611,21,17,0,4
51,Ethan Bear\bearet01,23,EDM,D,43,2,6,8,-1,14,0,0,1,53,3.8,772,55,31,0,4
52,Nicolas Beaudin\beaudni01,21,CHI,D,19,2,4,6,1,2,0,0,0,7,28.6,262,21,14,0,4
53,Nathan Beaulieu\beaulna01,28,WPG,D,25,0,1,1,-5,20,0,0,0,26,0.0,418,30,39,0,4
54,Anthony Beauvillier\beauvan01,23,NYI,LW,47,15,13,28,15,12,3,0,5,109,13.8,771,13,39,2,4
55,Pierre-Edouard Bellemare\bellepi01,35,COL,LW,53,9,2,11,6,21,0,0,0,60,15.0,600,36,26,260,4
56,Kieffer Bellows\belloki01,22,NYI,LW,14,3,0,3,0,4,0,0,1,19,15.8,154,5,36,2,4
57,Louis Belpedio\belpelo01,24,MIN,D,1,0,0,0,-1,0,0,0,0,2,0.0,14,1,3,0,4
58,Alex Belzile\belzial01,29,MTL,F,2,0,1,1,-1,0,0,0,0,3,0.0,21,0,2,4,4
59,Emil Bemstrom\bemstem01,21,CBJ,C,20,3,2,5,2,0,1,0,0,28,10.7,257,8,15,0,4
60,Jamie Benn\bennja01,31,DAL,LW,52,11,24,35,13,33,3,0,2,124,8.9,925,27,73,268,4
61,Jordie Benn\bennjo01,33,TOT,D,39,1,9,10,7,9,0,0,0,45,2.2,575,51,19,0,4
62,Sam Bennett\bennesa01,24,TOT,C,48,10,17,27,-2,52,1,0,4,106,9.4,692,18,108,124,4
63,Matt Benning\bennima01,26,NSH,D,53,1,3,4,-1,30,0,0,0,43,2.3,865,53,55,0,4
64,Simon Benoit\benoisi01,22,ANA,D,6,0,0,0,-3,2,0,0,0,3,0.0,103,9,20,0,4
65,Patrice Bergeron\bergepa01,35,BOS,C,54,23,25,48,27,16,7,3,3,182,12.6,984,36,49,714,4
66,Lean Bergmann\bergmle01,22,SJS,F,1,0,0,0,-1,4,0,0,0,1,0.0,10,1,3,0,4
67,Jacob Bernard-Docker\bernaja01,20,OTT,D,5,0,0,0,2,0,0,0,0,6,0.0,68,5,3,0,4
68,Tyler Bertuzzi\bertuty01,25,DET,LW,9,5,2,7,0,4,3,0,1,20,25.0,177,3,13,1,4
69,Alex Biega\biegaal01,32,DET,D,13,0,3,3,-1,4,0,0,0,4,0.0,139,11,22,0,4
70,Clark Bishop\bishocl01,24,OTT,C,13,0,3,3,2,4,0,0,0,16,0.0,123,8,23,36,4
71,Anthony Bitetto\bitetan01,30,NYR,D,14,1,3,4,-8,20,0,0,0,12,8.3,202,10,21,0,4
72,Anders Bjork\bjorkan01,24,TOT,LW,45,5,6,11,-13,14,0,0,0,41,12.2,625,13,48,0,4
73,Oliver Bjorkstrand\bjorkol01,25,CBJ,RW,56,18,26,44,-15,23,2,0,0,143,12.6,986,30,42,3,4
74,Tobias Bjornfot\bjornto01,19,LAK,D,33,1,5,6,-3,14,0,0,0,30,3.3,556,34,28,0,4
75,Nick Bjugstad\bjugsni01,28,MIN,C,44,6,11,17,7,17,0,0,3,78,7.7,520,22,48,125,4
76,Colin Blackwell\blackco01,27,NYR,C,47,12,10,22,2,15,3,0,2,64,18.8,658,19,45,30,4
77,Sammy Blais\blaissa01,24,STL,LW,36,8,7,15,0,12,0,0,2,31,25.8,434,10,103,3,4
78,Joachim Blichfeld\blichjo01,22,SJS,W,5,1,0,1,-2,12,0,0,0,3,33.3,43,2,2,0,4
79,Anton Blidh\blidhan01,25,BOS,LW,10,1,0,1,-5,6,0,0,0,10,10.0,108,4,25,0,4
80,Teddy Blueger\bluegte01,26,PIT,C,43,7,15,22,10,16,0,3,1,49,14.3,639,25,53,201,4
81,Brock Boeser\boesebr01,23,VAN,RW,56,23,26,49,-3,16,8,1,1,141,16.3,1082,20,32,8,4
82,Zach Bogosian\bogosza01,30,TOR,D,45,0,4,4,7,49,0,0,0,36,0.0,654,31,67,0,4
83,Nick Bonino\boninni01,32,MIN,C,55,10,16,26,0,26,3,0,2,66,15.2,817,50,11,365,4
84,Adam Boqvist\boqviad01,20,CHI,D,35,2,14,16,-7,14,1,0,0,39,5.1,595,29,29,0,4
85,Jesper Boqvist\boqvije01,22,NJD,C,28,4,3,7,-5,2,0,0,1,34,11.8,312,10,15,28,4
86,William Borgen\borgewi01,24,BUF,D,10,0,0,0,-4,4,0,0,0,7,0.0,163,14,30,0,4
87,Andreas Borgman\borgman01,25,TBL,D,7,0,2,2,-2,4,0,0,0,7,0.0,84,3,10,0,4
88,Mark Borowiecki\borowma01,31,NSH,D,22,0,1,1,-2,38,0,0,0,18,0.0,301,37,54,0,4
89,Robert Bortuzzo\borturo01,31,STL,D,40,1,4,5,-3,47,0,0,1,31,3.2,567,49,85,0,4
90,Evan Bouchard\bouchev01,21,EDM,D,14,2,3,5,-2,2,1,0,0,38,5.3,208,11,11,0,4
91,Madison Bowey\boweyma01,25,CHI,D,2,0,1,1,1,0,0,0,0,0,,22,1,4,0,4
92,Travis Boyd\boydtr01,27,TOT,C,39,5,5,10,-5,2,1,0,0,23,21.7,418,15,18,75,4
93,Tyler Bozak\bozakty01,34,STL,C,31,5,12,17,-3,10,1,2,0,35,14.3,462,20,17,217,4
94,Erik Brannstrom\branner01,21,OTT,D,30,2,11,13,3,25,1,0,0,42,4.8,491,18,26,0,4
95,Derick Brassard\brassde01,33,ARI,C,53,8,12,20,-10,12,4,0,1,67,11.9,784,5,80,229,4
96,Jesper Bratt\brattje01,22,NJD,W,46,7,23,30,4,8,2,0,1,101,6.9,740,18,31,3,4
97,Justin Braun\braunju01,33,PHI,D,53,1,5,6,0,18,0,0,0,59,1.7,982,73,78,0,4
98,Guillaume Brisebois\brisegu01,23,VAN,D,1,0,0,0,0,0,0,0,0,0,,12,3,0,0,4
99,T.J. Brodie\broditj01,30,TOR,D,56,1,13,14,23,12,0,0,0,48,2.1,1207,84,34,0,4
100,Jonas Brodin\brodijo01,27,MIN,D,53,9,14,23,2,18,1,0,2,79,11.4,1189,99,35,0,4
101,Jonny Brodzinski\brodzjo01,27,NYR,C,5,1,0,1,0,4,0,0,0,7,14.3,57,2,4,0,4
102,Mathias Brome\bromema01,26,DET,F,26,1,1,2,-9,8,0,0,1,22,4.5,355,7,19,1,4
103,Adam Brooks\brookad01,24,TOR,C,11,4,1,5,4,0,1,1,0,10,40.0,117,2,14,7,4
104,Connor Brown\brownco02,27,OTT,RW,56,21,14,35,1,12,1,5,1,123,17.1,1022,30,22,12,4
105,Dustin Brown\browndu01,36,LAK,RW,49,17,14,31,-3,18,9,0,1,129,13.2,863,10,85,2,4
106,Josh Brown\brownjo01,27,OTT,D,26,0,1,1,-1,30,0,0,0,8,0.0,368,40,71,0,4
107,Logan Brown\brownlo01,22,OTT,C,1,0,0,0,0,2,0,0,0,0,,10,0,0,0,4
108,Patrick Brown\brownpa02,28,VEG,C,4,0,0,0,0,2,0,0,0,5,0.0,36,2,7,16,4
109,Jacob Bryson\brysoja01,23,BUF,D,38,1,8,9,-1,12,0,0,0,24,4.2,724,43,32,0,4
110,Pavel Buchnevich\buchnpa01,25,NYR,LW,54,20,28,48,12,42,1,3,2,120,16.7,1012,29,49,4,4
111,Connor Bunnaman\bunnaco01,22,PHI,F,18,0,1,1,-6,2,0,0,0,15,0.0,208,6,31,56,4
112,Michael Bunting\buntimi01,25,ARI,LW,21,10,3,13,-1,12,3,0,1,38,26.3,351,1,28,7,4
113,Andre Burakovsky\burakan01,25,COL,LW,53,19,25,44,4,10,4,0,3,102,18.6,800,16,22,2,4
114,Brent Burns\burnsbr01,35,SJS,D,56,7,22,29,-12,36,2,0,1,138,5.1,1463,94,31,0,4
115,Kyle Burroughs\burroky01,25,COL,D,5,0,1,1,1,5,0,0,0,3,0.0,50,2,10,0,4
116,Will Butcher\butchwi01,26,NJD,D,23,1,10,11,-3,2,0,0,0,37,2.7,438,28,7,0,4
117,Quinton Byfield\byfiequ01,18,LAK,C,6,0,1,1,1,2,0,0,0,9,0.0,90,3,3,26,4
118,Bowen Byram\byrambo01,19,COL,D,19,0,2,2,1,23,0,0,0,21,0.0,333,13,33,0,4
119,Paul Byron\byronpa01,31,MTL,LW,46,5,11,16,5,12,0,1,1,44,11.4,591,22,116,11,4
120,Nicholas Caamano\caamani01,22,DAL,RW,24,0,1,1,-7,17,0,0,0,33,0.0,224,8,41,1,4
121,Drake Caggiula\caggidr01,26,TOT,LW,38,3,7,10,-6,19,0,0,0,46,6.5,471,9,64,5,4
122,Matt Calvert\calvema01,31,COL,LW,18,0,3,3,-2,6,0,0,0,26,0.0,249,8,12,0,4
123,Kyle Capobianco\capobky01,23,ARI,D,2,0,0,0,-2,2,0,0,0,3,0.0,29,2,1,0,4
124,Brandon Carlo\carlobr01,24,BOS,D,27,3,1,4,1,12,0,0,1,43,7.0,505,35,38,0,4
125,John Carlson\carlsjo01,31,WSH,D,52,10,34,44,-5,12,3,0,1,128,7.8,1237,69,52,0,4
126,Gabriel Carlsson\carlsga01,24,CBJ,D,14,1,3,4,-6,4,0,0,0,14,7.1,207,12,11,0,4
127,Lucas Carlsson\carlslu01,23,CHI,D,12,0,1,1,1,2,0,0,0,10,0.0,157,3,6,0,4
128,Ryan Carpenter\carpery01,30,CHI,C,40,4,1,5,-10,19,1,1,0,51,7.8,508,17,78,61,4
129,Daniel Carr\carrda01,29,WSH,LW,6,0,1,1,-2,2,0,0,0,5,0.0,61,4,10,0,4
130,Connor Carrick\carrico01,26,NJD,D,11,1,1,2,-2,5,0,0,0,8,12.5,205,24,11,0,4
131,Sam Carrick\carrisa01,28,ANA,C,13,2,4,6,4,28,0,0,0,23,8.7,168,3,29,33,4
132,Alexandre Carrier\carrial01,24,NSH,D,19,1,2,3,3,8,0,0,0,31,3.2,381,31,22,0,4
133,William Carrier\carriwi01,26,VEG,LW,52,6,9,15,0,16,0,0,0,65,9.2,541,13,131,3,4
134,Jeff Carter\carteje01,36,TOT,C,54,17,13,30,3,22,2,0,1,154,11.0,895,30,41,153,4
135,Jackson Cates\catesja01,23,PHI,C,4,0,1,1,-3,0,0,0,0,7,0.0,42,0,0,13,4
136,Cole Caufield\caufico01,20,MTL,RW,10,4,1,5,-1,2,0,0,2,30,13.3,140,0,3,0,4
137,Cody Ceci\cecico01,27,PIT,D,53,4,13,17,18,10,0,0,1,58,6.9,981,70,74,0,4
138,Erik Cernak\cernaer01,23,TBL,D,46,5,13,18,8,38,0,0,0,85,5.9,910,46,98,0,4
139,Thomas Chabot\chaboth01,24,OTT,D,49,6,25,31,-15,36,1,0,1,120,5.0,1288,72,68,0,4
140,Michael Chaput\chapumi01,28,ARI,C,13,0,0,0,-7,10,0,0,0,3,0.0,122,8,19,35,4
141,Zdeno Chara\charazd01,43,WSH,D,55,2,8,10,5,44,0,0,0,67,3.0,1008,67,88,0,4
142,Jalen Chatfield\chatfja01,24,VAN,D,18,0,1,1,-11,12,0,0,0,14,0.0,242,10,11,0,4
143,Ivan Chekhovich\chekhiv01,22,SJS,LW,4,0,1,1,-3,0,0,0,0,5,0.0,42,2,0,0,4
144,Ben Chiarot\chiarbe01,29,MTL,D,41,1,6,7,-16,50,1,0,0,81,1.2,893,60,77,0,4
145,Alex Chiasson\chiasal01,30,EDM,RW,45,9,7,16,-10,33,5,0,1,65,13.8,562,7,40,2,4
146,Filip Chlapik\chlapfi01,23,OTT,C,1,0,0,0,1,0,0,0,0,1,0.0,7,0,1,0,4
147,Sasha Chmelevski\chmelal01,21,SJS,C,5,0,2,2,-2,2,0,0,0,8,0.0,49,1,7,4,4
148,Dennis Cholowski\cholode01,22,DET,D,16,1,2,3,-1,4,0,0,0,10,10.0,254,18,5,0,4
149,Jakob Chychrun\chychja01,22,ARI,D,56,18,23,41,-6,42,5,0,3,176,10.2,1310,89,59,0,4
150,Filip Chytil\chytifi01,21,NYR,C,42,8,14,22,9,10,0,0,0,76,10.5,555,19,15,130,4
151,Anthony Cirelli\cirelan01,23,TBL,C,50,9,13,22,0,10,1,2,3,75,12.0,887,32,64,227,4
152,Casey Cizikas\cizikca01,29,NYI,C,56,7,7,14,-2,27,0,0,3,72,9.7,775,25,112,340,4
153,Fredrik Claesson\claesfr01,28,TOT,D,6,0,0,0,0,12,0,0,0,4,0.0,74,7,10,0,4
154,Kale Clague\claguka01,22,LAK,D,18,0,6,6,-6,4,0,0,0,24,0.0,310,13,9,0,4
155,Kyle Clifford\cliffky01,30,STL,LW,50,4,3,7,-5,30,0,0,0,65,6.2,497,17,69,6,4
156,Connor Clifton\cliftco01,25,BOS,D,44,1,6,7,10,38,0,0,0,48,2.1,802,52,108,0,4
157,Cal Clutterbuck\cluttca01,33,NYI,RW,50,4,7,11,-5,10,0,1,1,50,8.0,672,23,191,0,4
158,Braydon Coburn\coburbr01,35,TOT,D,19,0,2,2,-3,14,0,0,0,18,0.0,305,20,27,0,4
159,Dylan Coghlan\coghldy01,22,VEG,D,29,3,3,6,-3,2,0,0,0,31,9.7,391,16,29,0,4
160,Andrew Cogliano\coglian01,33,DAL,LW,54,5,6,11,-8,24,0,1,0,88,5.7,752,24,79,4,4
161,Ian Cole\coleia01,31,TOT,D,54,1,7,8,21,32,0,0,1,30,3.3,857,94,38,0,4
162,Blake Coleman\colembl01,29,TBL,C,55,14,17,31,15,37,1,1,3,122,11.5,851,20,109,2,4
163,Ross Colton\coltoro01,24,TBL,C,30,9,3,12,3,16,0,0,4,46,19.6,317,6,36,101,4
164,Blake Comeau\comeabl01,34,DAL,RW,51,4,10,14,-13,37,0,0,0,76,5.3,803,18,106,53,4
165,J.T. Compher\comphj.01,25,COL,LW,48,10,8,18,10,19,1,0,2,47,21.3,682,38,32,216,4
166,Max Comtois\comtoma01,22,ANA,LW,55,16,17,33,3,40,1,0,3,94,17.0,851,34,93,12,4
167,Kevin Connauton\connake01,30,FLA,D,7,0,1,1,4,7,0,0,0,5,0.0,100,3,12,0,4
168,Brett Connolly\connobr01,28,TOT,RW,31,3,3,6,3,4,0,0,0,26,11.5,376,8,44,4,4
169,Kyle Connor\connoky01,24,WPG,LW,56,26,24,50,-4,12,10,0,5,166,15.7,1049,18,18,6,4
170,Andrew Copp\coppan01,26,WPG,C,55,15,24,39,2,20,6,0,1,115,13.0,1004,41,67,123,4
171,Nick Cousins\cousini01,27,NSH,C,52,5,13,18,4,41,0,0,1,60,8.3,695,16,48,19,4
172,Logan Couture\coutulo01,31,SJS,C,53,17,14,31,-10,25,2,1,2,114,14.9,1021,39,58,444,4
173,Sean Couturier\coutuse01,28,PHI,C,45,18,23,41,-4,8,3,0,4,120,15.0,870,22,34,427,4
174,Charlie Coyle\coylech01,28,BOS,C,51,6,10,16,-4,20,0,1,2,79,7.6,831,24,57,245,4
175,Dylan Cozens\cozendy01,19,BUF,C,41,4,9,13,-15,16,1,0,0,62,6.5,589,11,30,96,4
176,Joseph Cramarossa\cramajo01,28,MIN,C,4,0,1,1,-1,15,0,0,0,3,0.0,43,1,10,0,4
177,Sidney Crosby\crosbsi01,33,PIT,C,55,24,38,62,8,26,5,1,5,159,15.1,1122,28,44,676,4
178,Lawson Crouse\crousla01,23,ARI,LW,51,4,9,13,-10,46,0,0,0,70,5.7,729,30,155,20,4
179,Josh Currie\currijo01,28,PIT,RW,1,0,0,0,0,0,0,0,0,0,,7,0,0,2,4
180,Austin Czarnik\czarnau01,28,NYI,C,4,0,0,0,-1,0,0,0,0,2,0.0,50,2,2,7,4
181,Kevin Czuczman\czuczke01,30,PIT,D,2,0,0,0,-3,0,0,0,0,2,0.0,23,2,1,0,4
182,Kirby Dach\dachki01,20,CHI,C,18,2,8,10,-3,4,1,0,0,26,7.7,334,12,7,77,4
